                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4214,                 5.4557,                 4.1844,                 4.2742,                 6.9996,                 4.2276,                      0,                      0,                      0,                      0,                 4.5337,                 5.6079,                 4.1919,                 4.4619,                 6.9787,                 4.1816,              0.0002361,              0.0002361,              0.0002361
                      2,                 3.9612,                 5.1314,                 3.7031,                  3.793,                 5.9635,                 3.6499,                0.00226,                0.00908,                0.00179,                0.00047,                  3.721,                 4.7792,                 3.3421,                 3.5176,                 5.2024,                  3.255,             0.00046471,             0.00046471,             0.00046471
                      3,                 3.6755,                 4.6915,                  3.251,                 3.4872,                 5.1828,                 3.0605,                0.30327,                0.01696,                0.00233,                0.00054,                 3.5726,                 4.4005,                 3.0323,                 3.3401,                 4.8355,                 2.7899,              0.0006839,              0.0006839,              0.0006839
                      4,                 3.5099,                 4.4164,                 2.9503,                 3.3312,                 4.9123,                 2.6845,                0.00586,                0.03072,                0.00419,                0.00098,                 3.4167,                 4.0847,                 2.7472,                   3.19,                 4.5612,                 2.5216,             0.00067159,             0.00067159,             0.00067159
                      5,                 3.3706,                 4.0973,                 2.7202,                 3.1884,                 4.6325,                 2.4764,                0.60685,                0.01326,                0.00609,                0.00159,                 3.2748,                 3.8987,                 2.5806,                 3.0739,                 4.3881,                 2.3371,             0.00067159,             0.00067159,             0.00067159
                      6,                 3.2539,                 3.9027,                 2.5716,                 3.1037,                 4.4841,                 2.3325,                 0.5128,                  0.017,                0.01506,                 0.0039,                 3.1246,                 3.6138,                 2.4016,                 2.9691,                  4.137,                 2.1818,             0.00065745,             0.00065745,             0.00065745
                      7,                 3.1304,                 3.7072,                 2.4028,                 3.0076,                 4.3094,                 2.1802,                0.23614,                 0.0248,                 0.0129,                0.00411,                 3.0015,                  3.435,                 2.2852,                 2.8965,                 4.0069,                 2.0718,             0.00064331,             0.00064331,             0.00064331
                      8,                 3.0394,                 3.5637,                 2.3107,                 2.9407,                 4.2155,                 2.0967,                0.31939,                 0.0623,                0.01634,                0.00564,                 2.8805,                 3.2386,                 2.1854,                 2.7933,                 3.8838,                 1.9574,             0.00062918,             0.00062918,             0.00062918
                      9,                 2.9857,                 3.4299,                 2.2083,                 2.9222,                 4.0815,                 1.9852,                  0.019,                0.06264,                0.01824,                0.00626,                 2.8419,                 3.1591,                 2.1291,                 2.7996,                  3.807,                 1.9425,             0.00061504,             0.00061504,             0.00061504
                     10,                 2.9296,                 3.3663,                 2.1549,                 2.8489,                 4.0376,                 1.9434,                0.34023,                0.05143,                0.02377,                0.00876,                 2.7843,                 3.1067,                   2.06,                 2.7089,                 3.7477,                 1.8415,              0.0006009,              0.0006009,              0.0006009
                     11,                 2.8362,                 3.2604,                 2.0887,                 2.7991,                 3.9536,                 1.8719,                0.33451,                0.03046,                0.02377,                0.00861,                 2.7497,                 3.0915,                 2.0171,                 2.6865,                 3.7437,                 1.8177,             0.00058677,             0.00058677,             0.00058677
                     12,                 2.8097,                 3.2595,                 2.0657,                  2.761,                 3.9456,                 1.8586,                0.33554,                0.06465,                0.02628,                0.01057,                  2.673,                 2.9923,                 1.9452,                 2.6406,                 3.6319,                 1.7609,             0.00057263,             0.00057263,             0.00057263
                     13,                 2.7584,                 3.1955,                 1.9879,                 2.7365,                 3.8606,                 1.7918,                0.33247,                0.07353,                0.02822,                0.01179,                 2.5956,                 2.9059,                 1.9006,                 2.6012,                 3.5671,                 1.7301,             0.00055849,             0.00055849,             0.00055849
                     14,                 2.7123,                 3.1364,                 1.9582,                 2.7013,                 3.8217,                 1.7605,                0.12719,                0.08453,                0.02992,                0.01225,                 2.5694,                 2.8625,                 1.8905,                 2.5763,                 3.5145,                  1.713,             0.00054435,             0.00054435,             0.00054435
                     15,                 2.7168,                 3.0924,                 1.9386,                   2.72,                 3.7536,                 1.7332,                0.26517,                0.05496,                0.03179,                0.01285,                 2.5639,                 2.8801,                 1.8415,                 2.5557,                 3.5222,                 1.6662,             0.00053022,             0.00053022,             0.00053022
                     16,                 2.6564,                 3.0635,                 1.9117,                 2.6486,                  3.753,                 1.7166,                0.03176,                0.08844,                0.03272,                0.01373,                 2.5132,                 2.8198,                 1.8326,                 2.5225,                 3.4648,                 1.6562,             0.00051608,             0.00051608,             0.00051608
                     17,                 2.6222,                 3.0253,                 1.8856,                 2.6367,                 3.7157,                 1.6896,                0.23818,                0.08818,                0.03391,                0.01472,                 2.5071,                 2.7719,                 1.8157,                 2.5017,                 3.3935,                 1.6433,             0.00050194,             0.00050194,             0.00050194
                     18,                 2.6346,                  3.004,                 1.8872,                 2.6438,                  3.673,                 1.6914,                0.13536,                0.08734,                0.03435,                0.01445,                 2.4988,                   2.77,                 1.8011,                  2.504,                 3.4149,                 1.6239,              0.0004878,              0.0004878,              0.0004878
                     19,                 2.5802,                 2.9534,                 1.8588,                 2.5969,                 3.6474,                 1.6671,                0.13789,                0.09141,                0.03639,                0.01567,                 2.4801,                 2.7353,                 1.8029,                 2.4748,                 3.3687,                 1.6168,             0.00047367,             0.00047367,             0.00047367
                     20,                 2.5649,                  2.945,                 1.8369,                  2.574,                 3.6405,                 1.6547,                 0.0324,                0.10341,                0.03803,                0.01708,                   2.44,                 2.6988,                 1.7696,                 2.4579,                 3.3357,                 1.6003,             0.00045953,             0.00045953,             0.00045953
                     21,                 2.5434,                 2.9018,                 1.7965,                 2.5785,                 3.5933,                 1.6172,                0.15523,                 0.0822,                0.03732,                0.01595,                 2.4522,                 2.8493,                 1.7362,                 2.4538,                 3.5321,                 1.5747,             0.00044539,             0.00044539,             0.00044539
                     22,                 2.5386,                 2.9329,                 1.8116,                 2.5435,                   3.63,                 1.6289,                0.26269,                0.07646,                0.03948,                0.01834,                 2.4054,                 2.6581,                 1.7392,                 2.4333,                 3.2976,                 1.5732,             0.00043126,             0.00043126,             0.00043126
                     23,                 2.4991,                 2.8739,                  1.784,                  2.529,                 3.5705,                 1.6183,                0.24988,                0.09028,                0.03985,                0.01792,                 2.4226,                 2.6272,                 1.7532,                 2.4217,                 3.2578,                 1.5689,             0.00041712,             0.00041712,             0.00041712
                     24,                 2.4878,                 2.8397,                 1.7682,                 2.5417,                 3.5303,                 1.5923,                0.24218,                0.10101,                0.03985,                 0.0175,                 2.4026,                 2.6948,                 1.7446,                 2.4273,                 3.3274,                 1.5604,             0.00040298,             0.00040298,             0.00040298
                     25,                 2.4876,                 2.8616,                 1.7607,                   2.53,                 3.5367,                 1.5866,                0.26877,                0.07878,                0.04202,                0.01866,                 2.3781,                 2.6408,                 1.6959,                 2.3951,                 3.2824,                 1.5357,             0.00038884,             0.00038884,             0.00038884
                     26,                 2.4526,                 2.7933,                 1.7576,                 2.5063,                 3.4873,                 1.5882,                0.26887,                0.08229,                0.04393,                0.01954,                 2.3759,                 2.5969,                 1.7099,                 2.4055,                 3.2293,                  1.542,             0.00037471,             0.00037471,             0.00037471
                     27,                 2.4741,                 2.8116,                 1.7447,                 2.5407,                 3.4834,                 1.5681,                0.35944,                0.09027,                0.04792,                0.02089,                 2.3592,                 2.5701,                 1.6932,                 2.3987,                 3.1942,                 1.5385,             0.00036057,             0.00036057,             0.00036057
                     28,                  2.447,                  2.774,                 1.7396,                 2.5117,                 3.4572,                 1.5664,                0.37054,                0.07677,                0.04437,                0.02037,                  2.341,                 2.5651,                 1.6882,                 2.3885,                 3.1942,                 1.5246,             0.00034643,             0.00034643,             0.00034643
                     29,                 2.4316,                 2.7837,                 1.7117,                 2.5009,                 3.4483,                 1.5416,                0.47631,                0.07465,                 0.0461,                0.02084,                 2.3344,                 2.5305,                 1.6773,                 2.3925,                 3.1579,                 1.5224,              0.0003323,              0.0003323,              0.0003323
                     30,                 2.4061,                 2.7368,                 1.7118,                 2.4775,                 3.4273,                 1.5381,                0.37212,                  0.087,                0.04773,                0.02126,                 2.3056,                 2.5364,                  1.654,                 2.3452,                 3.1747,                 1.4931,             0.00031816,             0.00031816,             0.00031816
                     31,                  2.393,                 2.7247,                 1.7005,                 2.4689,                 3.4052,                 1.5267,                0.47818,                0.07481,                0.04691,                0.02178,                 2.3031,                 2.4836,                 1.6707,                 2.3546,                 3.1148,                 1.5071,             0.00030402,             0.00030402,             0.00030402
                     32,                 2.4355,                 2.7418,                 1.6983,                 2.5229,                  3.403,                 1.5338,                0.37333,                0.08214,                0.04759,                0.02184,                 2.3009,                  2.483,                  1.659,                 2.3428,                 3.1102,                 1.4955,             0.00028988,             0.00028988,             0.00028988
                     33,                 2.3712,                 2.6695,                 1.6732,                 2.4698,                 3.3473,                 1.5121,                0.37452,                0.07487,                0.04844,                0.02295,                 2.2836,                 2.4781,                 1.6374,                 2.3644,                 3.0963,                 1.4932,             0.00027575,             0.00027575,             0.00027575
                     34,                 2.4049,                 2.6876,                 1.6884,                 2.4769,                 3.3536,                 1.5236,                0.48023,                0.07721,                0.04872,                0.02299,                 2.3066,                   2.52,                 1.6252,                 2.3672,                  3.121,                 1.4795,             0.00026161,             0.00026161,             0.00026161
                     35,                 2.4002,                 2.7416,                 1.6548,                 2.5274,                 3.4053,                 1.4975,                0.47878,                0.08038,                0.04845,                0.02286,                 2.2642,                 2.4754,                 1.6416,                 2.3493,                 3.0987,                 1.4978,             0.00024747,             0.00024747,             0.00024747
                     36,                 2.3347,                 2.6336,                 1.6504,                 2.4421,                 3.3091,                 1.4977,                 0.3628,                0.10913,                0.05537,                0.02458,                 2.2631,                 2.4532,                  1.625,                 2.3156,                 3.0714,                 1.4689,             0.00023334,             0.00023334,             0.00023334
                     37,                 2.3456,                 2.6702,                 1.6826,                  2.417,                 3.3372,                 1.5209,                0.36455,                0.09851,                 0.0512,                0.02376,                 2.2796,                 2.4819,                 1.6224,                  2.368,                 3.1061,                  1.478,              0.0002192,              0.0002192,              0.0002192
                     38,                 2.3395,                 2.6161,                 1.6449,                 2.4507,                 3.2941,                 1.4876,                0.37268,                0.09183,                0.05278,                0.02528,                 2.2439,                 2.4178,                 1.6133,                 2.3011,                 3.0301,                 1.4612,             0.00020506,             0.00020506,             0.00020506
                     39,                 2.3229,                 2.6218,                 1.6416,                 2.4212,                 3.2882,                 1.4833,                0.15859,                0.11388,                0.05282,                0.02492,                 2.2452,                 2.4302,                 1.6115,                 2.3338,                 3.0554,                 1.4675,             0.00019092,             0.00019092,             0.00019092
                     40,                 2.3186,                 2.6042,                 1.6502,                  2.415,                 3.2753,                 1.4881,                0.37609,                0.08775,                0.05344,                 0.0255,                 2.2497,                 2.3973,                  1.627,                 2.2996,                 3.0085,                 1.4669,             0.00017679,             0.00017679,             0.00017679
                     41,                 2.2597,                 2.7321,                 1.6231,                 2.3324,                 3.4462,                 1.4725,                0.15244,                0.12627,                0.05374,                0.02552,                 2.2345,                 2.4589,                 1.6123,                 2.2885,                  3.072,                 1.4544,             0.00016265,             0.00016265,             0.00016265
                     42,                 2.2589,                 2.7061,                 1.6289,                 2.3571,                 3.4329,                 1.4736,                0.27741,                0.09956,                0.05586,                 0.0265,                  2.213,                 2.4543,                 1.6045,                 2.2829,                 3.0757,                 1.4463,             0.00014851,             0.00014851,             0.00014851
                     43,                 2.2656,                 2.6806,                 1.6243,                 2.3402,                 3.4009,                 1.4716,                0.27449,                 0.0988,                 0.0551,                0.02628,                 2.2168,                 2.4465,                 1.5855,                 2.2893,                 3.0714,                 1.4462,             0.00013437,             0.00013437,             0.00013437
                     44,                 2.2272,                 2.6412,                 1.6165,                 2.3021,                 3.3732,                 1.4631,                0.25906,                0.12247,                 0.0571,                0.02714,                 2.2148,                 2.4193,                 1.5964,                 2.2868,                 3.0378,                 1.4443,             0.00012024,             0.00012024,             0.00012024
                     45,                 2.2606,                 2.6747,                 1.6097,                 2.3349,                 3.3804,                 1.4629,                0.25947,                0.12737,                0.05713,                0.02736,                 2.2172,                  2.418,                 1.5899,                 2.2713,                  3.026,                 1.4395,              0.0001061,              0.0001061,              0.0001061
                     46,                 2.2315,                 2.6385,                 1.6102,                 2.3173,                 3.3691,                 1.4614,                0.16316,                0.11738,                0.05773,                0.02809,                  2.209,                 2.4187,                 1.5865,                 2.2756,                 3.0408,                 1.4357,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                 2.2461,                 2.6357,                 1.6063,                 2.3443,                 3.3586,                 1.4595,                0.16034,                0.12679,                0.05679,                0.02735,                 2.2148,                 2.3948,                 1.6067,                  2.278,                 3.0166,                 1.4481,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                 2.2425,                 2.6378,                 1.6093,                 2.3375,                 3.3497,                 1.4547,                0.27009,                0.11131,                0.05815,                0.02808,                 2.1987,                 2.4035,                 1.5837,                 2.2768,                 3.0171,                 1.4382,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                 2.2605,                  2.633,                 1.6127,                 2.3617,                 3.3464,                 1.4579,                0.16387,                0.11852,                0.05853,                0.02814,                 2.2089,                 2.3984,                 1.5995,                 2.2698,                   3.01,                 1.4398,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                 2.2293,                 2.5991,                 1.5945,                 2.3206,                   3.31,                 1.4447,                0.28179,                0.09355,                0.05846,                0.02824,                 2.2014,                 2.3869,                 1.5963,                 2.2641,                 3.0054,                  1.437,             3.5414e-05,             3.5414e-05,             3.5414e-05
